plant_v,LDR,PH_value,VOC,Leaf_Temperature,Ambient_temperature,Nitrogen_N,phosphorus_P,potassium_K,Soil_Moisture,Scenario,Class
1.61,Dim,5.9,18 ppm,31.4C,24.0C,43,18,94,14,Normal monitoring,Water Stress
1.66,Dim,5.5,19 ppm,35.9C,30.0C,35,22,122,28,Normal monitoring,Water Stress
1.67,Bright,6.3,10 ppm,28.9C,27.7C,87,45,190,62,Normal monitoring,Healthy
1.65,Bright,4.0,52 ppm,25.4C,20.0C,65,28,179,79,Viral infection,Disease
1.61,Bright,4.9,18 ppm,26.9C,25.4C,27,19,101,63,Normal monitoring,Nutrient Deficiency
1.65,Bright,5.9,9 ppm,31.0C,30.6C,77,46,190,58,Normal monitoring,Healthy
1.69,Dim,5.2,14 ppm,36.0C,33.8C,34,19,85,62,Normal monitoring,Nutrient Deficiency
1.64,Bright,5.8,21 ppm,28.3C,20.8C,35,20,114,11,Normal monitoring,Water Stress
1.62,Bright,4.3,36 ppm,28.7C,20.4C,60,39,161,71,Pest infection,Disease
1.67,Dim,4.6,16 ppm,37.1C,33.1C,23,15,115,53,Normal monitoring,Nutrient Deficiency
1.69,Bright,6.3,8 ppm,32.4C,32.1C,84,36,206,58,Normal monitoring,Healthy
1.62,Dim,6.1,9 ppm,28.9C,29.4C,81,45,217,68,Normal monitoring,Healthy
1.69,Dim,5.8,15 ppm,39.4C,32.7C,46,16,106,12,Normal monitoring,Water Stress
1.67,Dim,4.1,54 ppm,22.4C,17.8C,78,25,167,66,Bacterial infection,Disease
1.68,Dim,4.0,46 ppm,25.6C,16.9C,64,28,197,67,Pest infection,Disease
1.64,Dark,3.9,41 ppm,18.5C,14.4C,75,28,172,75,Fungal infection,Disease
1.67,Bright,4.2,41 ppm,33.4C,29.3C,77,32,189,67,Pest infection,Disease
1.65,Bright,5.9,24 ppm,38.4C,33.2C,41,19,93,21,Normal monitoring,Water Stress
1.67,Bright,4.4,44 ppm,34.0C,29.6C,79,30,189,75,Pest infection,Disease
1.7,Dim,6.0,10 ppm,33.4C,30.5C,88,46,191,56,Normal monitoring,Healthy
1.67,Dim,4.7,15 ppm,37.5C,34.1C,33,17,93,60,Normal monitoring,Nutrient Deficiency
1.6,Dim,4.6,12 ppm,28.6C,24.9C,40,19,119,63,Normal monitoring,Nutrient Deficiency
1.65,Bright,3.4,51 ppm,47.0C,38.3C,60,37,158,73,Bacterial infection,Disease
1.62,Bright,5.8,21 ppm,29.2C,21.9C,39,15,123,17,Normal monitoring,Water Stress
1.62,Bright,5.2,16 ppm,36.1C,35.3C,21,17,102,50,Normal monitoring,Nutrient Deficiency
1.68,Bright,4.6,16 ppm,18.8C,16.7C,25,17,88,54,Normal monitoring,Nutrient Deficiency
1.69,Dim,4.0,58 ppm,23.6C,17.2C,53,33,136,66,Viral infection,Disease
1.62,Bright,4.6,19 ppm,18.0C,16.6C,25,13,94,61,Normal monitoring,Nutrient Deficiency
1.63,Bright,6.0,14 ppm,31.4C,29.5C,87,43,205,57,Normal monitoring,Healthy
1.69,Bright,3.7,58 ppm,23.0C,16.1C,69,35,199,71,Pest infection,Disease
1.6,Bright,4.5,10 ppm,32.2C,30.2C,35,14,102,64,Normal monitoring,Nutrient Deficiency
1.67,Bright,4.5,62 ppm,39.6C,36.4C,60,25,170,82,Fungal infection,Disease
1.65,Bright,3.6,41 ppm,24.8C,21.5C,69,34,179,82,Fungal infection,Disease
1.63,Bright,3.7,56 ppm,39.5C,33.1C,66,35,173,75,Fungal infection,Disease
1.64,Dim,5.3,13 ppm,26.8C,25.9C,37,16,108,59,Normal monitoring,Nutrient Deficiency
1.65,Bright,5.1,14 ppm,37.7C,35.8C,34,12,88,53,Normal monitoring,Nutrient Deficiency
1.66,Bright,4.6,10 ppm,19.2C,19.2C,28,13,112,64,Normal monitoring,Nutrient Deficiency
1.65,Dim,4.7,19 ppm,23.5C,20.8C,35,14,98,57,Normal monitoring,Nutrient Deficiency
1.69,Dark,3.9,57 ppm,28.7C,23.5C,61,36,171,73,Bacterial infection,Disease
1.67,Dim,5.6,24 ppm,40.3C,34.9C,41,22,126,18,Normal monitoring,Water Stress
1.68,Bright,5.8,18 ppm,36.8C,30.2C,47,18,127,14,Normal monitoring,Water Stress
1.65,Bright,5.9,21 ppm,34.8C,28.2C,41,22,107,19,Normal monitoring,Water Stress
1.64,Dim,5.7,15 ppm,25.0C,18.8C,41,29,90,20,Normal monitoring,Water Stress
1.61,Bright,4.0,46 ppm,31.9C,23.0C,72,32,173,79,Bacterial infection,Disease
1.67,Dim,5.8,21 ppm,21.0C,13.6C,43,29,91,23,Normal monitoring,Water Stress
1.62,Dark,4.1,48 ppm,36.7C,33.4C,67,27,153,68,Pest infection,Disease
1.67,Dim,6.1,9 ppm,33.7C,32.5C,78,35,219,68,Normal monitoring,Healthy
1.62,Dim,4.1,43 ppm,41.1C,34.2C,68,37,172,70,Fungal infection,Disease
1.74,Dim,5.0,17 ppm,34.0C,31.4C,22,10,99,60,Normal monitoring,Nutrient Deficiency
1.63,Dim,6.5,7 ppm,19.1C,19.3C,79,42,206,57,Normal monitoring,Healthy
1.69,Dark,3.5,58 ppm,40.5C,34.0C,66,29,175,77,Bacterial infection,Disease
1.63,Bright,5.2,11 ppm,16.7C,15.4C,38,14,91,58,Normal monitoring,Nutrient Deficiency
1.62,Dim,5.9,6 ppm,30.2C,31.5C,84,46,212,62,Normal monitoring,Healthy
1.71,Bright,5.1,13 ppm,24.9C,21.8C,28,19,87,55,Normal monitoring,Nutrient Deficiency
1.66,Bright,6.5,6 ppm,30.9C,31.8C,86,45,218,58,Normal monitoring,Healthy
1.63,Bright,4.3,40 ppm,27.5C,24.0C,67,38,188,66,Pest infection,Disease
1.6,Bright,5.2,10 ppm,31.3C,29.8C,31,12,106,55,Normal monitoring,Nutrient Deficiency
1.64,Bright,4.4,53 ppm,31.0C,27.7C,71,38,154,75,Pest infection,Disease
1.63,Bright,3.6,53 ppm,39.5C,32.9C,68,31,154,69,Bacterial infection,Disease
1.68,Bright,6.3,8 ppm,30.0C,30.2C,85,38,215,67,Normal monitoring,Healthy
1.68,Dark,4.9,13 ppm,35.3C,35.2C,34,17,87,63,Normal monitoring,Nutrient Deficiency
1.7,Dim,4.8,13 ppm,32.8C,31.9C,39,16,107,57,Normal monitoring,Nutrient Deficiency
1.67,Dim,5.1,17 ppm,36.3C,32.3C,46,11,96,50,Normal monitoring,Nutrient Deficiency
1.6,Dim,5.2,11 ppm,29.6C,25.8C,30,12,89,59,Normal monitoring,Nutrient Deficiency
1.6,Dark,5.9,5 ppm,36.0C,35.7C,77,39,201,65,Normal monitoring,Healthy
1.73,Dim,6.4,11 ppm,14.0C,15.4C,77,40,198,63,Normal monitoring,Healthy
1.64,Bright,6.2,5 ppm,29.0C,26.6C,77,45,207,66,Normal monitoring,Healthy
1.66,Dim,3.6,49 ppm,41.0C,31.5C,68,25,154,73,Pest infection,Disease
1.7,Bright,3.8,63 ppm,43.2C,33.9C,65,35,198,80,Fungal infection,Disease
1.68,Bright,5.8,19 ppm,40.7C,34.0C,45,29,114,11,Normal monitoring,Water Stress
1.67,Bright,5.0,17 ppm,36.8C,35.8C,30,17,83,50,Normal monitoring,Nutrient Deficiency
1.68,Dim,5.8,23 ppm,42.1C,36.3C,41,27,129,26,Normal monitoring,Water Stress
1.68,Dim,3.5,36 ppm,34.6C,30.9C,60,32,195,83,Fungal infection,Disease
1.58,Dark,5.4,10 ppm,27.4C,24.9C,38,10,113,64,Normal monitoring,Nutrient Deficiency
1.65,Dim,6.4,9 ppm,37.8C,35.1C,75,35,201,66,Normal monitoring,Healthy
1.65,Bright,6.4,7 ppm,34.4C,33.8C,85,42,208,61,Normal monitoring,Healthy
1.64,Bright,3.5,33 ppm,25.0C,16.3C,68,29,188,65,Pest infection,Disease
1.67,Bright,3.6,40 ppm,28.5C,20.6C,78,37,180,78,Fungal infection,Disease
1.69,Bright,6.1,11 ppm,26.9C,24.0C,86,42,209,57,Normal monitoring,Healthy
1.63,Bright,6.0,5 ppm,38.6C,36.8C,78,47,201,61,Normal monitoring,Healthy
1.64,Dark,3.8,52 ppm,40.9C,33.4C,60,33,179,72,Bacterial infection,Disease
1.63,Bright,5.3,14 ppm,22.9C,19.8C,38,16,94,64,Normal monitoring,Nutrient Deficiency
1.65,Bright,6.3,5 ppm,33.8C,30.9C,76,37,194,59,Normal monitoring,Healthy
1.62,Dark,6.1,5 ppm,23.1C,22.9C,87,40,190,56,Normal monitoring,Healthy
1.62,Bright,5.3,13 ppm,26.1C,22.6C,37,14,85,60,Normal monitoring,Nutrient Deficiency
1.66,Bright,6.0,13 ppm,37.5C,35.9C,89,43,199,68,Normal monitoring,Healthy
1.66,Dim,5.9,12 ppm,28.5C,30.3C,89,49,219,58,Normal monitoring,Healthy
1.66,Bright,5.8,10 ppm,16.9C,18.7C,89,44,214,67,Normal monitoring,Healthy
1.65,Bright,4.5,16 ppm,20.1C,17.8C,27,15,88,61,Normal monitoring,Nutrient Deficiency
1.66,Bright,4.3,46 ppm,30.2C,22.6C,71,33,152,84,Fungal infection,Disease
1.63,Bright,5.5,14 ppm,34.0C,32.1C,25,19,84,57,Normal monitoring,Nutrient Deficiency
1.67,Dim,5.6,22 ppm,37.0C,29.5C,41,21,115,21,Normal monitoring,Water Stress
1.62,Bright,3.9,43 ppm,45.0C,35.1C,79,35,171,68,Pest infection,Disease
1.69,Dim,5.8,15 ppm,32.5C,25.9C,41,27,121,27,Normal monitoring,Water Stress
1.62,Dim,6.2,10 ppm,27.6C,25.9C,81,36,219,55,Normal monitoring,Healthy
1.62,Bright,4.2,44 ppm,41.4C,33.5C,64,37,140,68,Viral infection,Disease
1.66,Bright,5.5,23 ppm,37.9C,31.3C,47,22,91,27,Normal monitoring,Water Stress
1.69,Bright,5.8,23 ppm,36.2C,30.9C,35,19,92,27,Normal monitoring,Water Stress
1.64,Bright,6.4,10 ppm,16.2C,14.0C,88,45,206,55,Normal monitoring,Healthy
1.7,Dark,6.3,10 ppm,29.8C,30.4C,76,49,191,58,Normal monitoring,Healthy
1.67,Bright,5.7,19 ppm,22.1C,16.3C,35,23,97,14,Normal monitoring,Water Stress
1.57,Bright,6.0,13 ppm,41.6C,39.4C,83,42,191,67,Normal monitoring,Healthy
1.67,Dim,5.7,16 ppm,37.0C,30.7C,38,16,108,14,Normal monitoring,Water Stress
1.64,Dim,4.4,40 ppm,36.6C,29.1C,68,28,163,73,Viral infection,Disease
1.65,Bright,5.3,13 ppm,17.7C,14.8C,42,12,116,57,Normal monitoring,Nutrient Deficiency
1.65,Dim,5.9,15 ppm,22.6C,17.5C,36,18,103,11,Normal monitoring,Water Stress
1.65,Bright,6.0,5 ppm,22.6C,20.2C,75,46,194,57,Normal monitoring,Healthy
1.7,Dark,5.6,19 ppm,33.3C,26.8C,37,24,126,28,Normal monitoring,Water Stress
1.62,Dim,6.1,9 ppm,30.9C,32.3C,76,48,192,64,Normal monitoring,Healthy
1.61,Bright,4.4,63 ppm,26.8C,22.8C,61,39,171,70,Fungal infection,Disease
1.7,Bright,5.9,14 ppm,29.9C,31.8C,83,46,215,63,Normal monitoring,Healthy
1.65,Bright,5.8,17 ppm,25.1C,18.8C,40,26,110,17,Normal monitoring,Water Stress
1.61,Dim,5.9,21 ppm,31.3C,23.4C,48,25,114,22,Normal monitoring,Water Stress
1.68,Dim,6.4,7 ppm,34.7C,32.6C,77,46,190,55,Normal monitoring,Healthy
1.65,Bright,3.9,38 ppm,34.1C,25.9C,62,35,192,67,Bacterial infection,Disease
1.58,Bright,6.5,10 ppm,22.8C,24.1C,80,48,196,59,Normal monitoring,Healthy
1.65,Dim,5.9,12 ppm,18.3C,16.7C,80,41,190,55,Normal monitoring,Healthy
1.68,Dim,4.5,30 ppm,27.4C,21.4C,65,39,156,68,Viral infection,Disease
1.63,Bright,5.7,18 ppm,40.8C,34.3C,35,20,121,29,Normal monitoring,Water Stress
1.66,Bright,4.7,10 ppm,17.8C,14.2C,27,19,96,57,Normal monitoring,Nutrient Deficiency
1.6,Dim,6.4,11 ppm,28.0C,25.2C,79,49,201,58,Normal monitoring,Healthy
1.71,Bright,6.0,10 ppm,17.8C,17.3C,76,47,218,57,Normal monitoring,Healthy
1.68,Bright,6.1,13 ppm,31.6C,29.4C,85,39,207,67,Normal monitoring,Healthy
1.62,Dark,5.8,10 ppm,27.0C,26.0C,79,36,213,66,Normal monitoring,Healthy
1.65,Bright,5.9,17 ppm,35.9C,30.7C,41,25,103,12,Normal monitoring,Water Stress
1.63,Dim,5.2,13 ppm,33.7C,33.3C,30,11,116,51,Normal monitoring,Nutrient Deficiency
1.62,Dim,5.4,15 ppm,38.6C,35.5C,31,17,92,59,Normal monitoring,Nutrient Deficiency
1.65,Dim,4.1,55 ppm,39.7C,30.9C,74,35,199,73,Pest infection,Disease
1.64,Bright,4.0,53 ppm,22.1C,15.6C,67,31,155,65,Pest infection,Disease
1.64,Bright,6.0,15 ppm,20.2C,14.1C,37,28,111,23,Normal monitoring,Water Stress
1.58,Bright,5.8,23 ppm,33.8C,26.7C,49,18,96,22,Normal monitoring,Water Stress
1.63,Bright,5.8,9 ppm,36.3C,33.4C,88,36,193,56,Normal monitoring,Healthy
1.62,Dim,6.4,13 ppm,21.4C,20.7C,79,46,200,57,Normal monitoring,Healthy
1.62,Dim,5.9,21 ppm,39.4C,31.4C,45,25,115,24,Normal monitoring,Water Stress
1.63,Dim,5.9,6 ppm,22.6C,22.4C,78,46,195,61,Normal monitoring,Healthy
1.67,Bright,6.3,6 ppm,24.5C,25.9C,84,43,215,59,Normal monitoring,Healthy
1.59,Bright,5.6,24 ppm,44.0C,36.2C,46,29,124,16,Normal monitoring,Water Stress
1.65,Bright,4.9,13 ppm,22.1C,21.5C,33,11,119,63,Normal monitoring,Nutrient Deficiency
1.66,Bright,3.7,41 ppm,30.1C,21.9C,55,27,166,78,Viral infection,Disease
1.61,Bright,4.1,58 ppm,41.3C,37.8C,64,36,185,75,Fungal infection,Disease
1.67,Bright,4.7,14 ppm,28.3C,25.1C,38,11,104,55,Normal monitoring,Nutrient Deficiency
1.62,Dim,5.9,22 ppm,28.0C,22.0C,49,23,96,27,Normal monitoring,Water Stress
1.64,Dim,4.7,12 ppm,17.3C,13.5C,24,16,113,56,Normal monitoring,Nutrient Deficiency
1.63,Dim,6.0,21 ppm,43.4C,35.9C,46,22,95,21,Normal monitoring,Water Stress
1.67,Bright,5.9,5 ppm,14.1C,13.6C,80,42,191,60,Normal monitoring,Healthy
1.6,Bright,5.5,19 ppm,37.6C,31.8C,49,25,109,24,Normal monitoring,Water Stress
1.62,Bright,3.8,59 ppm,39.6C,33.0C,61,29,156,83,Fungal infection,Disease
1.66,Bright,5.8,12 ppm,21.6C,22.2C,77,37,207,58,Normal monitoring,Healthy
1.64,Bright,4.7,11 ppm,37.2C,35.2C,23,15,107,56,Normal monitoring,Nutrient Deficiency
1.67,Bright,6.0,24 ppm,32.2C,27.0C,46,28,90,29,Normal monitoring,Water Stress
1.65,Dim,4.4,45 ppm,36.4C,30.8C,68,39,171,68,Pest infection,Disease
1.65,Bright,6.2,11 ppm,15.8C,16.9C,89,40,204,68,Normal monitoring,Healthy
1.59,Dim,3.6,54 ppm,28.2C,22.2C,72,36,185,78,Bacterial infection,Disease
1.69,Dim,5.2,13 ppm,37.3C,37.0C,29,16,113,53,Normal monitoring,Nutrient Deficiency
1.63,Bright,4.9,13 ppm,27.2C,27.0C,49,16,114,58,Normal monitoring,Nutrient Deficiency
1.62,Bright,6.3,5 ppm,35.6C,34.2C,85,49,201,57,Normal monitoring,Healthy
1.68,Bright,5.8,24 ppm,17.9C,11.5C,45,15,118,16,Normal monitoring,Water Stress
1.63,Bright,4.2,35 ppm,40.8C,32.8C,69,26,197,66,Pest infection,Disease
1.65,Dark,5.2,14 ppm,36.3C,36.2C,36,11,93,61,Normal monitoring,Nutrient Deficiency
1.67,Dim,4.1,47 ppm,25.0C,17.4C,65,30,182,72,Bacterial infection,Disease
1.63,Bright,3.5,49 ppm,38.3C,33.0C,77,28,169,69,Bacterial infection,Disease
1.62,Bright,5.9,23 ppm,42.0C,36.2C,46,27,99,10,Normal monitoring,Water Stress
1.7,Dim,4.6,16 ppm,22.6C,19.5C,23,10,91,59,Normal monitoring,Nutrient Deficiency
1.66,Bright,4.6,14 ppm,31.9C,29.3C,34,18,91,62,Normal monitoring,Nutrient Deficiency
1.67,Dim,6.4,12 ppm,31.2C,32.9C,82,44,208,57,Normal monitoring,Healthy
1.63,Dim,5.7,22 ppm,28.9C,21.9C,45,15,106,19,Normal monitoring,Water Stress
1.66,Bright,6.0,6 ppm,28.3C,29.7C,83,41,213,69,Normal monitoring,Healthy
1.67,Dark,5.6,19 ppm,25.8C,19.7C,49,20,96,23,Normal monitoring,Water Stress
1.67,Bright,3.5,59 ppm,27.1C,18.4C,75,38,169,82,Fungal infection,Disease
1.66,Bright,6.1,8 ppm,13.3C,13.6C,83,36,203,68,Normal monitoring,Healthy
1.65,Bright,5.9,21 ppm,41.8C,33.9C,42,21,91,26,Normal monitoring,Water Stress
1.7,Bright,4.2,44 ppm,32.2C,25.0C,61,35,151,71,Fungal infection,Disease
1.67,Bright,6.2,14 ppm,38.2C,35.4C,80,43,201,65,Normal monitoring,Healthy
1.65,Dark,6.2,14 ppm,32.1C,31.3C,84,43,202,64,Normal monitoring,Healthy
1.65,Bright,6.1,9 ppm,34.9C,34.1C,76,41,204,55,Normal monitoring,Healthy
1.62,Bright,5.0,11 ppm,27.6C,25.7C,21,18,103,50,Normal monitoring,Nutrient Deficiency
1.63,Bright,5.3,18 ppm,19.1C,18.3C,28,12,91,58,Normal monitoring,Nutrient Deficiency
1.7,Bright,6.0,7 ppm,33.7C,30.9C,82,43,206,57,Normal monitoring,Healthy
1.62,Bright,4.4,43 ppm,41.8C,34.4C,54,27,166,69,Viral infection,Disease
1.62,Bright,6.2,10 ppm,19.5C,16.9C,78,39,213,69,Normal monitoring,Healthy
1.63,Bright,6.2,5 ppm,35.5C,33.0C,87,40,210,60,Normal monitoring,Healthy
1.65,Dim,5.8,5 ppm,13.4C,15.3C,84,36,211,60,Normal monitoring,Healthy
1.7,Dark,6.5,10 ppm,20.2C,22.0C,81,46,200,60,Normal monitoring,Healthy
1.68,Dim,5.8,22 ppm,29.9C,22.9C,49,27,117,24,Normal monitoring,Water Stress
1.64,Bright,5.6,23 ppm,40.3C,32.9C,44,16,108,12,Normal monitoring,Water Stress
1.72,Bright,3.5,44 ppm,36.3C,29.5C,64,37,187,73,Bacterial infection,Disease
1.65,Dim,5.5,12 ppm,30.2C,28.8C,33,13,103,63,Normal monitoring,Nutrient Deficiency
1.61,Dim,5.8,9 ppm,18.6C,19.2C,80,35,194,63,Normal monitoring,Healthy
1.56,Dim,6.2,7 ppm,34.8C,35.3C,78,37,199,68,Normal monitoring,Healthy
1.64,Dim,4.0,31 ppm,36.2C,32.5C,60,26,197,75,Pest infection,Disease
1.65,Dim,4.6,11 ppm,34.5C,33.6C,33,18,90,54,Normal monitoring,Nutrient Deficiency
1.64,Dark,3.6,49 ppm,29.2C,20.3C,78,35,163,74,Bacterial infection,Disease
